Module,Provisioner,Category,Command Injection via Unsanitized Input,Execution of Unverified Programs,Excessive Permissions,Unsanitized Path Traversal,File Content Injection,Arbitrary Resource Interaction,Insecure Handling of Secrets,Insecure Communication,Non-Idempotent Execution,Inconsistent Configuration
avinor-remote-backend-azurerm-3.0.0,local-exec,high_medium,,1,1,,,1,1,,1,1
avinor-remote-backend-azurerm-3.0.0,data-external,high_medium,,0,1,,,1,,,,
rkarthik007-yugabyte-aws-0.9.4,local-exec,high_medium,,1,,,,,1,1,1,1
rkarthik007-yugabyte-aws-0.9.4,remote-exec,high_medium,,1,,,,,1,1,1,1
miljodir-function-app-azurerm-1.2.0,data-external,high_medium,1,0,1,,,1,,,,1
gruntwork-io-couchbase-aws-0.6.1,local-exec,high_medium,,0,,,,,,,,
laverya-eks-aws-1.8.0-beta1,local-exec,high_low,1,0,1,,1,1,,,,1
claranet-search-service-azurerm-7.3.0,local-exec,high_low,1,0,1,,,1,,,,1
PaloAltoNetworks-vmseries-modules-google-1.3.3,local-exec,high_low,,0,,,,,,,,
sailthru-secretsmanager-data-aws-0.0.5,data-external,high_low,,0,,,,,1,,,
OpenCloudCX-opencloudcx-aws-0.3.15,local-exec,high_low,1,0,,,,,1,,,1
rpadovani-helm-crds-kubectl-1.0.0,local-exec,high_low,,0,,,,,,,,
roylines-lambda-parcelled-aws-1.0.1,local-exec,high_low,1,0,,,,1,,,1,1
clouddrove-eks-aws-1.4.1,local-exec,high_low,1,0,,,,1,,,,
claranet-front-door-azurerm-6.1.1,data-external,high_low,,1,1,,,1,,,,
clouddrove-secure-baseline-aws-1.3.0,local-exec,medium_high,,1,,,,,,,1,1
matti-service-kontena-0.2.3,local-exec,medium_high,1,0,0,,,1,1,,1,1
bayudwiyansatria-cloud-bootstrap-kubernetes-1.0.1,local-exec,medium_high,1,0,,,,,1,,1,1
bayudwiyansatria-cloud-bootstrap-kubernetes-1.0.1,remote-exec,medium_high,1,1,1,,,,1,,1,1
dasmeta-onpremise-onpremise-0.3.11,local-exec,medium_high,1,0,,,,1,,,,
matti-grid-kontena-0.1.0,local-exec,medium_high,1,0,0,,,1,1,,1,1
srb3-policyfile-chef-0.13.3,remote-exec,medium_medium,1,1,1,1,,,1,,1,1
deepesh-thoduvayil-kubeadm-aws-1.0.0,local-exec,medium_medium,1,0,,1,1,,1,1,1,
boeboe-k8s-multus-gtp5g-aws-0.0.1,local-exec,medium_medium,1,1,,1,,,1,1,1,1
4ops-bitcoin-core-digitalocean-2.0.2,remote-exec,medium_medium,1,1,,,,,,,,1
hashicorp-modules-workspace-tfe-0.1.1,local-exec,medium_low,1,1,,,,,1,,1,1
vietanhduong-msk-sasl-aws-1.0.3,remote-exec,medium_low,,1,,,,,,,1,1
crhino-hcp-demo-aws-0.0.2,remote-exec,medium_low,,1,,,,,1,,1,1
borgified-dashboard-datadog-0.1.17,data-external,medium_low,1,1,,,,,1,,,
datasparq-ai-houston-key-google-1.2.0,local-exec,medium_low,,0,,,,,,,,
clouddrove-mssql-db-azure-1.0.1,local-exec,medium_low,1,0,,,,1,1,,,
plus3it-s3-keys-external-1.0.2,data-external,medium_low,1,1,,,,,1,,,
zendad-static-website-cdn-azurerm-2.0.0,local-exec,medium_low,1,0,,1,,,1,,,
mswaroopa11-alb-aws-6.2.0,local-exec,medium_low,,0,,,1,,,,,1
web-virtua-oci-multi-account-modules-function-oci-1.0.0,local-exec,low_high,1,0,,,1,,1,,1,1
oracle-devrel-cloudbricks-windows-iscsi-disks-oci-1.0.1,local-exec,low_high,,0,,,,,,,,
oracle-devrel-cloudbricks-windows-iscsi-disks-oci-1.0.1,remote-exec,low_high,1,1,,,,,1,,1,1
ghdwlsgur-outline-vpn-ghdwlsgur-1.0.0,local-exec,low_high,1,0,,1,,,1,1,1,1
ghdwlsgur-outline-vpn-ghdwlsgur-1.0.0,data-external,low_high,,0,,,,,1,1,,
figurate-bucket-file-sync-null-1.0.0,local-exec,low_medium,1,0,,1,,1,,,1,1
terraform-ibm-modules-mas-ibm-1.7.6,local-exec,low_medium,,0,,,,1,,,1,1
elestio-examples-clickhouse-cluster-elestio-0.2.0,remote-exec,low_medium,,0,,,,,1,,1,1
sodre-jupyterhub-singleuser-null-0.1.0,local-exec,low_medium,,1,,1,,,,,,1
sodre-jupyterhub-singleuser-null-0.1.0,data-external,low_medium,,1,,,,,,,,
